metadata.material_id,metadata.formula
mp-1011695,Cs2Se
mp-6973,CsNaS
mp-996983,AgAuO2
mp-614603,CsI
mp-35015,NaBiSe2
mp-6870,KBe2BO3F2
mp-5782,AlAgS2
mp-1367,Mg2Si
mp-2074,Li3Sb
mp-22922,AgCl
mp-9244,LiBC
mp-8000,SrSn(BO3)2
mp-5077,NaLi2Sb
mp-976876,K2PtC2
mp-15954,As2Rh
mp-22975,Rb2TeCl6
mp-989638,CaTcN3
mp-16337,Ga2HgTe4
mp-989535,Cs2AlInH6
mp-23017,CsCu2Br3
mp-541899,CsCdBr3
mp-2455,As2Os
mp-867730,Cs2SnO3
mp-4555,Ca(AsO3)2
mp-7449,Cs2Se3
mp-27422,CsBiF6
mp-29678,AgBiS2
mp-8291,BaTiF6
mp-1014244,ZrZnN2
mp-8017,AlCuTe2
mp-2352,Na2O
mp-29754,SrLiN
mp-2693,SnSe
mp-13900,Sr(CuO)2
mp-29091,Ti(CuS)4
mp-3924,LiNbO2
mp-3821,K2PtF6
mp-9158,LiCuO2
mp-11019,GaCuO2
mp-1569,Be2C
mp-2657,TiO2
mp-1986,ZnO
mp-7140,SiC
mp-1009088,BeGeAs2
mp-11674,Al2Se3
mp-28603,NaLiSe
mp-22862,NaCl
mp-999549,WN2
mp-570097,Sr(Li2P)2
mp-684580,AgI
mp-27193,RbIO3
mp-11714,SiC
mp-9386,CsAu3Se2
mp-560037,Rb2NaBiF6
mp-555874,LiAsS2
mp-29750,CsMgBr3
mp-4495,KLiTe
mp-4979,AlCuS2
mp-12779,CdTe
mp-643370,Ba2MgH6
mp-30988,KBiO2
mp-8298,Sr4P2O
mp-634657,NaHS
mp-9571,Ca(ZnAs)2
mp-10159,K3Sb
mp-552547,SrBiIO2
mp-7955,Li3Sb
mp-13907,CdSnF6
mp-23092,Ba2TaBiO6
mp-22919,AgI
mp-754212,BaSr2I6
mp-754368,NaSbO2
mp-1008556,AlGaN2
mp-985586,Na3BrO
mp-569571,Nb3Sb2Te5
mp-8235,K2SiP2
mp-29138,KAuSe2
mp-6059,Cs2KYF6
mp-13032,MgS
mp-23056,Sr2BrN
mp-9664,K3BP2
mp-1591,Al4C3
mp-867193,Sr2BiAu
mp-23513,K2PtCl6
mp-12954,CuBS2
mp-567776,Cs2AgAuCl6
mp-560791,CsNaTiO3
mp-570891,KBr
mp-5394,LaSF
mp-2534,GaAs
mp-1105,BaO2
mp-27419,LiBiF6
mp-22951,BaIF
mp-5878,KZnF3
mp-552537,Sr2CuBrO2
mp-626620,RbHO
mp-22909,ZnCl2
mp-9273,K3Sb2Au3
mp-10572,NaPN2
mp-7610,Li2CaSiO4
mp-13992,Cs2Pt3S4
mp-4763,ZnSiP2
mp-7909,Al2CdTe4
mp-556866,Ag2HgSI2
mp-13287,BaCuTeF
mp-8751,RbLiS
mp-551243,BaBiIO2
mp-571102,TlI
mp-29025,Li5Br2N
mp-7375,KNbO3
mp-561827,Cs3TlF6
mp-3953,CaCO3
mp-30004,Rb4Br2O
mp-24084,KH
mp-1190,ZnSe
mp-15556,Rb2As3
mp-13641,TiCdO3
mp-1598,Na3P
mp-3589,BPO4
mp-697133,Cs2CaH4
mp-13277,BaLiP
mp-554941,KRb2BiF6
mp-3486,KSnSb
mp-23036,K2SeBr6
mp-15794,LiYSe2
mp-974603,HgF2
mp-568284,SrI2
mp-697030,Mg2H6Ru
mp-13946,Rb2ZrF6
mp-643264,BaMg2FeH8
mp-3042,K2SiF6
mp-8377,TeO2
mp-9124,LiZnAs
mp-28453,CsAuI3
mp-38970,Ga2Te3
mp-7891,Mg3As2
mp-13658,RbNO3
mp-15649,As2Ir
mp-5858,CdPtF6
mp-676464,Cd3AsI3
mp-7931,SrP
mp-1247,Sb2Ir
mp-25305,Y2Ti2S2O5
mp-4511,La2SO2
mp-5414,NaSbS2
mp-9846,RbCaSb
mp-5652,Y2Si2O7
mp-22990,CsICl2
mp-22607,Zn(InSe2)2
mp-29584,K4BeAs2
mp-558071,RbS
mp-865500,Na2Hf2O5
mp-23933,AlH3
mp-27839,K2TiCl6
mp-315,PbF2
mp-2920,LaAlO3
mp-752446,RbNO3
mp-6088,LaCuSO
mp-7176,RbLaSe2
mp-556120,RbTl(SO4)2
mp-22898,KI
mp-989405,Cs2LiInBr6
mp-8407,Li3LaP2
mp-7921,MgPdF6
mp-8161,CaPdF4
mp-561710,CsSnS3
mp-644203,CsCaH3
mp-569028,Rb2SnBr6
mp-23260,BaI2
mp-6654,Cs2LiGaF6
mp-20463,CaPbF6
mp-8830,NaRhO2
mp-989643,LaCoN3
mp-13926,Rb2NaYF6
mp-541037,CsCuO
mp-8873,LiGeBO4
mp-5122,Na3AlP2
mp-29521,RbBiO2
mp-30460,YNiBi
mp-998552,BaHfO3
mp-20072,LaCuO2
mp-1700,AlN
mp-27829,Rb2SeCl6
mp-7938,KNbS2
mp-28069,Ca3AsCl3
mp-5175,NaInO2
mp-2894,ScSnAu
mp-5784,Na2GeO3
mp-14206,K3Ag3As2
mp-30315,Ca3BN3
mp-3668,CdGeP2
mp-3744,NaNbO2
mp-510268,Cs2Pd3S4
mp-7547,BaSe2
mp-5072,Rb2HgO2
mp-9306,Sr2ZnN2
mp-543024,Cs2Pd(IBr2)2
mp-13356,Ba2SrTeO6
mp-10694,ScF3
mp-22894,AgI
mp-3982,KCuO2
mp-643002,Mg2H6Os
mp-961659,TiSiPd
mp-10250,BaLiF3
mp-3277,BAsO4
mp-23353,Cu2HgI4
mp-7027,InBO3
mp-753802,Sc2Ti2O7
mp-505297,NbSbRu
mp-7928,K2PtS2
mp-558118,BeF2
mp-2517,Ca2Si
mp-2858,ZrO2
mp-675531,NaBiS2
mp-865185,Mg(BeAs)2
mp-7000,SiO2
mp-5350,Zn(GaS2)2
mp-2229,ZnO
mp-12927,Ba(BeN)2
mp-4405,Rb3AuO
mp-20731,In2HgSe4
mp-7825,K2GeF6
mp-675011,CsPF6
mp-571386,CuCl
mp-37153,AgAsF6
mp-989547,Rb2NaInCl6
mp-8208,Mg(PtO2)3
mp-553342,CsBe2BO3F2
mp-7017,NaNbN2
mp-961649,ZrFeTe
mp-643257,K2H4Pd
mp-22255,RbInTe2
mp-989520,Rb2NaBiCl6
mp-19851,KInTe2
mp-9008,RbTeAu
mp-8446,K2CuP
mp-7914,NaScO2
mp-567636,VFeSb
mp-14092,AlAgTe2
mp-30062,Cs2PtBr6
mp-675104,Na3YCl6
mp-989537,Cs2TlInF6
mp-7596,NbNO
mp-8962,Rb2HgF4
mp-3078,CdSiAs2
mp-9915,LiBeP
mp-9143,LiPF6
mp-11583,Zr2SN2
mp-1070,CdSe
mp-35152,Sr2H5Rh
mp-2175,TlF
mp-15777,Zn(GaTe2)2
mp-8724,K2TeO3
mp-9812,ZnCO3
mp-755895,Ba3Zr2O7
mp-10680,BaSe
mp-1266,Na2Se
mp-2695,Sb2Os
mp-569812,BaN3Cl
mp-755478,CdBiO3
mp-16236,KAgSe
mp-16577,Li2CaHfF8
mp-8621,K2PtSe2
mp-241,CdF2
mp-6929,Ca2As2O7
mp-12814,Ba3SbN
mp-22914,CuCl
mp-754363,Ba2HfO4
mp-1087,SrS
mp-975140,RbZn4P3
mp-2251,Li3N
mp-30251,YAuO2
mp-2659,LiN3
mp-961698,LiZnP
mp-549589,LaZnAsO
mp-10485,BaLiSb
mp-551835,Ba2I2O
mp-11520,YNiSb
mp-23009,Ca2BrN
mp-4547,La2TeO2
mp-989527,Cs2NaNF6
mp-867699,Li4TiS4
mp-9514,Mg(AlC)2
mp-570844,Ga3Os
mp-9295,TaCu3Te4
mp-22003,NaN3
mp-23432,BaClF
mp-924129,ZrNiSn
mp-5532,Sr2TiO4
mp-961711,ZrSiPt
mp-10969,CdCN2
mp-22904,CaCl2
mp-546864,Y2C(NO)2
mp-553961,ScNbO4
mp-23485,Ag2HgI4
mp-4156,Li2ZrO3
mp-4497,Si2N2O
mp-15704,BeSiN2
mp-3813,Ba2ZrS4
mp-571124,Cs2KScCl6
mp-569779,ScSbPd
mp-13097,NaZnAs
mp-559092,ScF3
mp-9573,NaBeAs
mp-24428,KH2N
mp-7801,CaGeN2
mp-8041,Rb2S
mp-8753,K4HgP2
mp-2784,Na2Te
mp-16742,BaAgTeF
mp-7437,KZnP
mp-6951,RbCdF3
mp-486,NiP2
mp-676284,YAgSe2
mp-553875,Zr2SN2
mp-2340,Na2O2
mp-23475,Rb2PbCl6
mp-6560,KSO2F
mp-555763,ZnS
mp-602,Te2Mo
mp-7572,MgSO4
mp-4043,NbCu3Se4
mp-3481,KSnAs
mp-10336,BaYCuTe3
mp-989566,Rb2InGaF6
mp-554155,KSb(PO4)2
mp-989616,CaWN3
mp-23193,KCl
mp-661,AlN
mp-1345,CaP
mp-989513,SrWN3
mp-5853,LiSi2N3
mp-2697,SrO2
mp-20817,GePtSe
mp-760375,Li3VS4
mp-14036,KRb2RhF6
mp-581833,RbN3
mp-4586,LiAlTe2
mp-1008786,MgTe
mp-10614,SrLiP
mp-10955,Sn(HgSe2)2
mp-7808,BaP3
mp-573204,Cs2KBiF6
mp-755309,Li3NbS4
mp-3054,Li2CO3
mp-3395,SrSeO3
mp-21855,VCu3Se4
mp-3614,KTaO3
mp-505634,Cs2Te3
mp-754118,Sr(AsO3)2
mp-27691,K2PtBr6
mp-754535,LaAgO2
mp-10223,Na2PdS2
mp-13984,CdPdF6
mp-555286,CsNb(PO4)2
mp-996941,Cs2RbInBr6
mp-571306,Ca2Zn2CuP3
mp-989400,Rb2NaGaF6
mp-8402,RbMgF3
mp-5479,RbAlF4
mp-510273,CsSbO2
mp-13948,Cs2HfF6
mp-28872,RbBrO3
mp-23120,Cs2NaYCl6
mp-9126,Sr(SbO3)2
mp-1394,Rb2O
mp-32616,Ga2S3
mp-23259,LiBr
mp-7188,Al2Os
mp-8276,Sr(ZnP)2
mp-754710,Sr2CaI6
mp-13898,Cs2NaInF6
mp-1249,MgF2
mp-23070,BaBrF
mp-567373,LaCN2Cl
mp-20210,Ag2PbO2
mp-1002164,GeC
mp-7569,KAsF6
mp-9821,RbSbF6
mp-15988,Li2CuSb
mp-12509,YZnPO
mp-20187,LiInSe2
mp-2472,SrO
mp-11175,LiZnPS4
mp-973185,ScAgO2
mp-8630,SbIrS
mp-6980,ScCuS2
mp-11659,BaTi(BO3)2
mp-546125,ScAsO4
mp-573763,Cs2Te
mp-4360,NaCdF3
mp-989407,YWN3
mp-10653,SrTe
mp-8409,KYO2
mp-1500,BaS
mp-2853,GaN
mp-23060,Cs2PtI6
mp-29209,Ba(MgBi)2
mp-12015,KAg2AsO4
mp-23127,Ba2BiSbO6
mp-16764,RbYTe2
mp-267,Te2Ru
mp-6450,K2LiAlP2
mp-753671,PNO
mp-23024,SrBrF
mp-642648,KP(HO)2
mp-9268,KSe
mp-2605,CaO
mp-567744,SrBr2
mp-648,Na2S
mp-12491,CsLaCdTe3
mp-8256,ZnPtF6
mp-553374,Cs4Sb2O5
mp-684690,Sc2Se3
mp-6408,ZnCu2GeS4
mp-568544,CsCdCl3
mp-730,P2Pt
mp-886,Ga2O3
mp-22896,LaCl3
mp-15349,Li2GeO3
mp-996997,LiAgO2
mp-752676,TiBi2O5
mp-989539,Rb2AlTlH6
mp-15951,BeF2
mp-989635,CaMoN3
mp-8978,CsNbN2
mp-625136,CsHO
mp-989532,Rb2TlInF6
mp-9062,RbS
mp-9205,KSeO2F
mp-7446,Rb2S3
mp-7972,RbLaO2
mp-20352,Ba3In2O6
mp-7631,SiC
mp-8799,RbNaS
mp-11824,Ca3PN
mp-7581,MoSe2
mp-29149,Li4NCl
mp-1009085,BeSiP2
mp-24721,RbH
mp-23067,K2PdCl6
mp-29751,CsMgI3
mp-7684,Tl3AsSe3
mp-8789,Ca4As2O
mp-9900,Ag2GeS3
mp-14333,TaAlO4
mp-570485,SrAlSiH
mp-8812,Rb2GeF6
mp-24423,SrHBr
mp-3216,Li2ZrN2
mp-2469,CdS
mp-961693,ZrInAu
mp-28627,K4Br2O
mp-989625,SrWN3
mp-991652,VCu3Te4
mp-11917,Mg(BeN)2
mp-997002,KAuO2
mp-6798,Ba2NaReO6
mp-569639,TlCl
mp-989522,Mg6Bi2PN
mp-23004,CsMgCl3
mp-34169,Zn(InSe2)2
mp-31454,TaSbRu
mp-7886,Cs2RbYF6
mp-558430,BaB2F8
mp-14588,Na2PtSe2
mp-9486,K2AlF5
mp-3970,K2TiF6
mp-753287,CaCdO2
mp-867168,Sr2SbAu
mp-4820,ZrSiO4
mp-5342,GaAgS2
mp-9774,Ba4Sb2O
mp-10547,RbAuO
mp-30459,ScNiBi
mp-8861,Rb2MgF4
mp-571222,CsBr
mp-677335,GaPO4
mp-1020019,Li2PNO2
mp-7392,Na2AgSb
mp-27138,K2PdBr4
mp-561947,CsHgF3
mp-961683,LiMgP
mp-20620,Ba2NbInO6
mp-555166,BaAg2SnS4
mp-7979,K2PdF6
mp-20256,K3InP2
mp-23861,BaHCl
mp-551456,Ba2CuClO2
mp-9383,SrHfN2
mp-20782,LiInTe2
mp-10341,SrGeTeO6
mp-1009820,SnC
mp-8623,K2Te2Pt
mp-1794,BeO
mp-567680,BaCl2
mp-22916,NaBr
mp-8192,Rb2PtF6
mp-13056,Ba2LaTaO6
mp-12385,Ba2YTaO6
mp-8335,Ba2ZrO4
mp-7773,Na2AsAu
mp-753946,LiCoS2
mp-753098,LiCuF2
mp-7670,K2Se3
mp-2150,BaTe2
mp-754329,CdSnO3
mp-989571,Cs2NaInCl6
mp-989529,KRb2InCl6
mp-28020,AlCuCl4
mp-10918,Rb2PdC2
mp-7041,CaHgO2
mp-22906,CsBr
mp-19833,InAgS2
mp-1784,CsF
mp-11718,RbF
mp-961713,ZrSnPt
mp-9575,LiBeSb
mp-9270,SbIrS
mp-5431,BaTeO3
mp-4002,Li2ZrF6
mp-22660,InAgO2
mp-1340,Ga2Se3
mp-10281,ZnS
mp-37091,Sr(AlTe2)2
mp-7906,Al2HgS4
mp-571467,Cs2NaYBr6
mp-998156,RbSnCl3
mp-13099,YN
mp-2064,RbF
mp-989561,NaTl2GaF6
mp-2624,AlSb
mp-7618,Cs3YF6
mp-9718,Rb3BAs2
mp-753747,Ta3O7F
mp-15781,KLaS2
mp-997041,NaCuO2
mp-28553,Ca2IN
mp-29506,CsBiO2
mp-7439,K3Cu3P2
mp-223,GeO2
mp-27227,LiAg3O2
mp-861937,Ba2AsAu
mp-9565,Ca(MgSb)2
mp-4190,CaSnO3
mp-29403,GaCuI4
mp-979137,SrGaSiH
mp-1330,AlN
mp-3771,MgTiO3
mp-14038,Rb2NaRhF6
mp-974381,Rh2S3
mp-7090,NaMgSb
mp-23033,Sr2NCl
mp-570213,LiMgBi
mp-7650,RbScO2
mp-632319,CsH
mp-7233,La2SeO2
mp-690785,Na2H6Pt
mp-989618,Cs2RbGaF6
mp-34579,Na3HfF7
mp-27608,Be4TeO7
mp-978847,SrGaGeH
mp-570935,LiI
mp-766,As2Ru
mp-1873,ZnF2
mp-5295,LaNbO4
mp-760400,Na5BiO5
mp-2961,MgSiP2
mp-4009,BaPdS2
mp-6867,KCaCO3F
mp-998603,RbPbBr3
mp-568662,BaCl2
mp-696804,RbHS
mp-1009009,LiF
mp-3159,Al2CdSe4
mp-7667,K2S3
mp-31235,BaNaBi
mp-9317,KZrCuS3
mp-2488,SiOs
mp-10616,BaLiAs
mp-697044,Ba2H6Os
mp-550685,Ba2CaTeO6
mp-8311,Si3NiP4
mp-776532,HfO2
mp-3056,NaTlO2
mp-760417,Rb4I2O
mp-541044,CsYO2
mp-989608,Cs2NaAsCl6
mp-570256,Ag2HgI4
mp-1522,FeS2
mp-7604,Mg3NF3
mp-2008,FeAs2
mp-1009813,SiSn
mp-468,AlF3
mp-996943,Cs2NaInBr6
mp-14070,RbAlO2
mp-7173,ScSbPt
mp-6270,Ba2LiReO6
mp-8930,K2GeAs2
mp-27207,K2MgCl4
mp-31149,Ca3BiN
mp-989558,Cs2TlGaF6
mp-754596,RbGaO2
mp-555410,ZnS
mp-27369,RbGeCl3
mp-7895,Rb2O2
mp-12418,SrCaGe
mp-22935,CsBrF
mp-553310,CsCuO2
mp-961706,TiSiPt
mp-8278,Ba(MgP)2
mp-4187,Ge2N2O
mp-8880,AlP
mp-2600,BaTe
mp-3427,LiAlO2
mp-755293,Sr4Sb2O
mp-15685,Na2CuAs
mp-8175,KTlO2
mp-2030,RuS2
mp-12894,Y2SO2
mp-15788,LiYS2
mp-4124,CaCN2
mp-2133,ZnO
mp-20450,YCrB4
mp-23268,NaI
mp-9720,Rb3BP2
mp-252,BeTe
mp-10417,KSbO2
mp-23350,Rb2PtCl6
mp-736,Li3P
mp-9200,K3AuO
mp-7100,LaOF
mp-2371,Ga2Te5
mp-7849,AlAsO4
mp-975115,RbTcO4
mp-7077,KAuS
mp-22984,NaBiO2
mp-1138,LiF
mp-1479,BP
mp-983565,CuBSe2
mp-8062,SiC
mp-541226,CsBrF6
mp-9872,K4BeP2
mp-7643,K2AgSb
mp-6972,YCuO2
mp-961646,TiTeOs
mp-10748,TaCu3S4
mp-1519,CaTe
mp-573755,CsTeAu
mp-28599,Na4Br2O
mp-9687,K2PAu
mp-2319,P2Os
mp-3748,AlCuO2
mp-561561,Cs2KRhF6
mp-7067,Ca(CdAs)2
mp-15953,P2Rh
mp-6989,BaSeO3
mp-14398,CaSn(BO3)2
mp-634676,KHS
mp-9064,RbTe
mp-867203,Sr2CdAs2
mp-3125,K3Zn2F7
mp-6204,Cs2NaScF6
mp-682,NaF
mp-27421,RbBiF6
mp-8016,AlCuSe2
mp-10492,Rb2SiF6
mp-2646,Mg3Sb2
mp-4359,Sr2PdO3
mp-553025,CaBiClO2
mp-1747,K2Te
mp-569548,CsAuBr3
mp-676861,AlSbO4
mp-28145,Rb2PdCl6
mp-2172,AlAs
mp-1009792,RuC
mp-22888,CaBr2
mp-1008506,BaGaSiH
mp-7911,KCuO
mp-24292,Sr2H6Ru
mp-11919,Sr(BeN)2
mp-1009087,BeSiAs2
mp-6459,CaMg(CO3)2
mp-28602,Na3ClO
mp-1541,BeSe
mp-672,CdS
mp-553303,CsCu3O2
mp-551203,Sr2I2O
mp-28423,Ga2TeSe2
mp-1009127,MgO
mp-4782,CaSnF6
mp-998433,CsSrBr3
mp-1922,RuSe2
mp-11713,SiC
mp-22901,KI
mp-9919,LiZnSb
mp-27716,KTlO
mp-14285,CoP2
mp-989583,Rb2LiInCl6
mp-547244,SrBiClO2
mp-999498,N2
mp-12622,SrPdF4
mp-961685,NaCaAs
mp-3810,Hg(AsO3)2
mp-9570,Ca(CdP)2
mp-7394,BaAg2GeS4
mp-9385,RbAu3Se2
mp-10760,MgSe
mp-978852,SrGaSnH
mp-623024,TiCdF6
mp-28270,KCuS
mp-23091,Ba2BiSbO6
mp-13660,Ca4Sb2O
mp-31002,Rb2Te5
mp-9610,Li2CN2
mp-5860,K2HgO2
mp-1009540,OsC
mp-13031,MgSe
mp-6058,K2NaScF6
mp-19795,InS
mp-6660,BaNaBO3
mp-380,ZnSe
mp-12427,Sr2TaGaO6
mp-23956,K2MgH4
